StateAbv,Unviersity,State,State Capital,Region
AL,4,Alabama,Montgomery,South
AR,1,Arkansas,Little Rock,South
AZ,2,Arizona,Phoenix,West
CA,21,California,Sacramento,West
CO,4,Colorado,Denver,West
CT,3,Connecticut,Hartford,Northeast
DC,6,District of Columbia,Washington,Northeast
DE,1,Delaware,Dover,Northeast
FL,5,Florida,Tallahassee,South
GA,4,Georgia,Atlanta,South
HI,1,Hawaii,Honolulu,West
IA,3,Iowa,Des Moines,Midwest
ID,1,Idaho,Boise,West
IL,7,Illinois,Springfield,Midwest
IN,4,Indiana,Indianapolis,Midwest
KS,2,Kansas,Topeka,Midwest
KY,1,Kentucky,Frankfort,South
LA,2,Louisiana,Baton Rouge,South
MA,11,Massachusetts,Boston,Northeast
MD,3,Maryland,Annapolis,Northeast
MI,3,Michigan,Lansing,Midwest
MN,2,Minnesota,St. Paul,Midwest
MO,4,Missouri,Jefferson City,Midwest
MS,1,Mississippi,Jackson,South
NC,5,North Carolina,Raleigh,South
NE,2,Nebraska,Lincoln,Midwest
NH,2,New Hampshire,Concord,Northeast
NJ,8,New Jersey,Trenton,Northeast
NY,21,New York,Albany,Northeast
OH,6,Ohio,Columbus,Midwest
OK,2,Oklahoma,Oklahoma City,South
OR,2,Oregon,Salem,West
PA,9,Pennsylvania,Harrisburg,Northeast
RI,2,Rhode Island,Providence,Northeast
SC,2,South Carolina,Columbia,South
TN,3,Tennessee,Nashville,South
TX,7,Texas,Austin,South
UT,2,Utah,Salt Lake City,West
VA,5,Virginia,Richmond,South
VT,1,Vermont,Montpelier,Northeast
WA,3,Washington,Olympia,West
WI,2,Wisconsin,Madison,Midwest
