Overall Rank,State,Total Score,Emotional & Physical Well-Being,Work Environment,Community & Environment
1,Utah,72.94,9,1,1
2,Minnesota,67.52,2,4,9
3,Hawaii,66.16,8,15,3
4,California,63.82,4,20,11
5,North Dakota,63.25,13,5,6
6,South Dakota,63.08,14,6,4
7,Idaho,62.51,28,2,2
8,Maryland,62.21,6,38,8
9,New Jersey,61.93,1,39,22
10,Massachusetts,61.80,3,13,43
11,Connecticut,60.71,5,46,17
12,Vermont,60.10,15,16,7
13,Washington,59.92,16,8,18
14,Nebraska,59.54,10,7,35
15,Iowa,59.21,19,9,12
16,Wisconsin,58.66,18,12,20
17,Virginia,57.45,11,27,32
18,New York,57.19,7,43,45
19,New Hampshire,56.61,20,10,38
20,Maine,54.04,29,14,21
21,Rhode Island,54.03,25,24,34
22,Colorado,53.99,17,17,47
23,Nevada,53.40,33,23,5
24,Pennsylvania,53.18,24,40,30
25,Illinois,53.12,12,45,46
26,Delaware,52.77,23,36,36
27,Arizona,52.76,27,28,33
28,North Carolina,51.72,26,29,42
29,Missouri,51.46,35,19,13
30,Michigan,51.27,32,26,23
31,Kansas,51.01,30,18,40
32,Montana,51.01,39,3,41
33,Oregon,51.00,38,11,27
34,Florida,50.55,21,42,49
35,Georgia,50.36,31,34,24
36,South Carolina,49.93,34,31,19
37,Indiana,49.08,37,22,31
38,Texas,49.00,22,44,50
39,Ohio,47.84,40,37,25
40,Wyoming,47.22,42,21,39
41,New Mexico,47.02,41,47,10
42,Alaska,44.24,36,41,48
43,Alabama,42.99,45,33,16
44,Tennessee,42.85,43,25,44
45,Kentucky,41.05,47,32,26
46,Oklahoma,40.43,48,30,29
47,Mississippi,39.90,46,48,14
48,Louisiana,38.88,44,50,28
49,Arkansas,37.47,50,35,15
50,West Virginia,34.05,49,49,37
