State,State,State Capital,Region
Alabama,AL,Montgomery,South
Alaska,AK,Juneau,West
Arizona,AZ,Phoenix,West
Arkansas,AR,Little Rock,South
California,CA,Sacramento,West
Colorado,CO,Denver,West
Connecticut,CT,Hartford,Northeast
Delaware,DE,Dover,Northeast
Florida,FL,Tallahassee,South
Georgia,GA,Atlanta,South
Hawaii,HI,Honolulu,West
Idaho,ID,Boise,West
Illinois,IL,Springfield,Midwest
Indiana,IN,Indianapolis,Midwest
Iowa,IA,Des Moines,Midwest
Kansas,KS,Topeka,Midwest
Kentucky,KY,Frankfort,South
Louisiana,LA,Baton Rouge,South
Maine,ME,Augusta,Northeast
Maryland,MD,Annapolis,Northeast
Massachusetts,MA,Boston,Northeast
Michigan,MI,Lansing,Midwest
Minnesota,MN,St. Paul,Midwest
Mississippi,MS,Jackson,South
Missouri,MO,Jefferson City,Midwest
Montana,MT,Helena,West
Nebraska,NE,Lincoln,Midwest
Nevada,NV,Carson City,West
New Hampshire,NH,Concord,Northeast
New Jersey,NJ,Trenton,Northeast
New Mexico,NM,Santa Fe,West
New York,NY,Albany,Northeast
North Carolina,NC,Raleigh,South
North Dakota,ND,Bismarck,Midwest
Ohio,OH,Columbus,Midwest
Oklahoma,OK,Oklahoma City,South
Oregon,OR,Salem,West
Pennsylvania,PA,Harrisburg,Northeast
Rhode Island,RI,Providence,Northeast
South Carolina,SC,Columbia,South
South Dakota,SD,Pierre,Midwest
Tennessee,TN,Nashville,South
Texas,TX,Austin,South
Utah,UT,Salt Lake City,West
Vermont,VT,Montpelier,Northeast
Virginia,VA,Richmond,South
Washington,WA,Olympia,West
West Virginia,WV,Charleston,South
Wisconsin,WI,Madison,Midwest
Wyoming,WY,Cheyenne,West
Puerto Rico, PR, San Juan, South
