State,HouseholdIncome
Maryland,84805
New Jersey,82545
Hawaii,81275
Massachusetts,81215
Connecticut,78444
Alaska,77640
New Hampshire,76768
California,75235
Virginia,74222
Washington,73775
Colorado,72331
Utah,71621
Minnesota,71306
New York,68486
Delaware,68287
Rhode Island,67167
Illinois,65886
North Dakota,64894
Wyoming,64049
Oregon,62818
Vermont,61973
Texas,61874
Wisconsin,61747
Pennsylvania,61744
Nebraska,61439
Iowa,60523
Nevada,60365
Kansas,59597
Arizona,58945
Georgia,58700
South Dakota,58275
Maine,57918
Michigan,57144
Ohio,56602
Indiana,56303
Idaho,55785
Florida,55660
Missouri,55461
Montana,54970
North Carolina,54602
Tennessee,53320
South Carolina,53199
Oklahoma,52919
Kentucky,50589
Alabama,50536
New Mexico,49754
Louisiana,49469
Arkansas,47597
West Virginia,46711
Mississippi,45081
