,State,state_abv,State Capital,Region,Crime
0,Alabama,AL,Montgomery,South,22322
1,Alaska,AK,Juneau,West,6126
2,Arizona,AZ,Phoenix,West,35980
3,Arkansas,AR,Little Rock,South,20363
4,California,CA,Sacramento,West,174026
5,Colorado,CO,Denver,West,24570
6,Connecticut,CT,Hartford,Northeast,6459
7,Delaware,DE,Dover,Northeast,4262
8,Florida,FL,Tallahassee,South,83368
9,Georgia,GA,Atlanta,South,42850
10,Hawaii,HI,Honolulu,West,3576
11,Idaho,ID,Boise,West,4432
12,Illinois,IL,Springfield,Midwest,53612
13,Indiana,IN,Indianapolis,Midwest,24161
14,Iowa,IA,Des Moines,Midwest,9601
15,Kansas,KS,Topeka,Midwest,12385
16,Kentucky,KY,Frankfort,South,11600
17,Louisiana,LA,Baton Rouge,South,29704
18,Maine,ME,Augusta,Northeast,1466
19,Maryland,MD,Annapolis,Northeast,24215
20,Massachusetts,MA,Boston,Northeast,21288
21,Michigan,MI,Lansing,Midwest,47641
22,Minnesota,MN,St. Paul,Midwest,15698
23,Mississippi,MS,Jackson,South,8638
24,Missouri,MO,Jefferson City,Midwest,33385
25,Montana,MT,Helena,West,5077
26,Nebraska,NE,Lincoln,Midwest,6473
27,Nevada,NV,Carson City,West,14445
28,New Hampshire,NH,Concord,Northeast,2000
29,New Jersey,NJ,Trenton,Northeast,17353
30,New Mexico,NM,Santa Fe,West,16393
31,New York,NY,Albany,Northeast,70339
32,North Carolina,NC,Raleigh,South,44451
33,North Dakota,ND,Bismarck,Midwest,2518
34,Ohio,OH,Columbus,Midwest,36104
35,Oklahoma,OK,Oklahoma City,South,18255
36,Oregon,OR,Salem,West,12380
37,Pennsylvania,PA,Harrisburg,Northeast,49793
38,Rhode Island,RI,Providence,Northeast,2440
39,South Carolina,SC,Columbia,South,27691
40,South Dakota,SD,Pierre,Midwest,4476
41,Tennessee,TN,Nashville,South,46328
42,Texas,TX,Austin,South,131084
43,Utah,UT,Salt Lake City,West,8471
44,Vermont,VT,Montpelier,Northeast,1081
45,Virginia,VA,Richmond,South,17925
46,Washington,WA,Olympia,West,22596
47,West Virginia,WV,Charleston,South,6352
48,Wisconsin,WI,Madison,Midwest,18861
49,Wyoming,WY,Cheyenne,West,1364
