State,StateAbv,State Capital,Region, State Parks, State Forests, State Wildlife Management Areas,National Park, National Forests, National Historic Sites,National Historic Park, National Monuments, National Wildlife Refuges, National Parks, National Historic Parks,National Recreation Trail, National Park and Preserves,State Recreation Area,State Historic Site,State Fish Hatchery,State Wildlife Area,National Memorial,National Historic Site,National Wildlife Area,National Recreation Area, National Recreation Trails,Metro and City Parks,State Forest, State Fish Hatcherys,State Natural Area, State Recreation Areas, State Historic Sites,State Nature Preserve, State Reserves, State Wildlife Areas, National Recreation Areas,National Seashore,National Park and Preserve,National Historic Landmark,National Monument,State Memorial, State Preserves, National Memorials,State Wildlife Management Area,State Wildlife Refuge, Army Corps of Engineerss, Metro and City Parkss, State Memorials, State Natural Areas,National Forest,State Fishing Area,National Wildlife Refuge,State Reserve,State Airport, National Historic Landmarks, National Wilderness Areas,National Natural Area, National Seashores,Army Corps of Engineers, State Nature Preserves,State Nursery,State Preserve, State Scenic Rivers, State Fishery Areas,Trail
Alabama,AL,Montgomery,South,24,3,4,1,4,2,1,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,AK,Juneau,West,4,,,,2,,,2,22,2,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,AZ,Phoenix,West,16,,,,8,,,9,7,4,,,,1,1,1,1,1,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,AR,Little Rock,South,36,,12,1,3,3,,,9,,,1,,,1,,,1,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,CA,Sacramento,West,109,6,,,19,3,,5,31,9,,,,,,,,1,,,,6,1,,5,,9,5,1,10,10,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,CO,Denver,West,6,2,,,11,,,,4,3,,,,,,1,,,,,,,,,,,,,,,5,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,CT,Hartford,Northeast,53,25,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,DE,Dover,Northeast,15,2,3,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,DC,Washington,Northeast,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,FL,Tallahassee,South,114,5,,,3,,,,20,3,,,,,,,,,,,,,,,,,,17,,3,,,1,,1,1,1,19,2,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,Atlanta,South,53,,,,2,,,,9,,,,,,,,,,1,,1,,,1,,,,15,1,,,,1,,,,1,,,1,1,2,,,,,,,,,,,,,,,,,,,
Hawaii,HI,Honolulu,West,10,,,,,,,,,2,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,ID,Boise,West,23,,,1,10,,1,,6,,,,,,,,,,1,,1,5,,1,2,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,
Illinois,IL,Springfield,Midwest,69,6,,,,2,,,3,,,,,,,,,,,,,,,,,,11,,1,,17,,,,,,,,,1,,,,2,5,1,,,,,,,,,,,,,,,
Indiana,IN,Indianapolis,Midwest,26,15,,1,,,1,,,,,,,,1,1,,1,,,,,1,,,,,,1,,13,,,,,,,,,,,,,4,,1,1,1,,,,,,,,,,,,,
Iowa,IA,Des Moines,Midwest,63,5,7,,,,,,3,,,,,,,,,,1,,,,1,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,KS,Topeka,Midwest,31,,3,1,,4,,,3,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,KY,Frankfort,South,38,3,,1,,,,,2,,2,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Louisiana,LA,Baton Rouge,South,20,,9,,,,1,,8,2,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
Maine,ME,Augusta,Northeast,34,,,1,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,MD,Annapolis,Northeast,37,5,6,,,,1,,4,4,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,MA,Boston,Northeast,24,38,,1,,6,,,4,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Michigan,MI,Lansing,Midwest,74,12,,,4,,1,,4,2,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
Minnesota,MN,St. Paul,Midwest,52,11,9,1,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,MS,Jackson,South,23,,8,,6,,,,9,,,,,,,,,,1,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO,Jefferson City,Midwest,38,7,6,,,2,,,5,,,,,,,,,,,,,,,,,1,,7,,,12,,,,,,,,,,1,,3,,,1,,,,,,,,,,,,,,,
Montana,MT,Helena,West,38,,,,10,2,,,9,2,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Nebraska,NE,Lincoln,Midwest,9,,11,,2,,,2,6,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,NV,Carson City,West,20,,3,1,7,,,,9,,,1,,1,,1,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,NH,Concord,Northeast,20,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
