0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,State,State.1,State Capital,Region
{' State Parks': '24'},{' State Forests': '3'},{' State Wildlife Management Areas': '4'},{'National Park': 1},{' National Forests': '4'},{' National Historic Sites': '2'},{'National Historic Park': 1},{' National Monuments': '2'},{' National Wildlife Refuges': '10'},,,,,,,,,,,Alabama,AL,Montgomery,South
{' State Parks': '4'},{' National Parks': '2'},{' National Forests': '2'},{' National Historic Parks': '2'},{' National Monuments': '2'},{' National Wildlife Refuges': '22'},{'National Recreation Trail': 1},{' National Park and Preserves': '7'},,,,,,,,,,,,Alaska,AK,Juneau,West
{' State Parks': '16'},{'State Recreation Area': 1},{'State Historic Site': 1},{'State Fish Hatchery': 1},{'State Wildlife Area': 1},{' National Parks': '4'},{' National Forests': '8'},{'National Memorial': 1},{'National Historic Site': 1},{' National Monuments': '9'},{'National Wildlife Area': 1},{' National Wildlife Refuges': '7'},{'National Recreation Area': 1},{' National Recreation Trails': '4'},{'Metro and City Parks': 1},,,,,Arizona,AZ,Phoenix,West
{' State Parks': '36'},{'State Forest': 1},{'State Historic Site': 1},{' State Fish Hatcherys': '2'},{'State Natural Area': 1},{' State Wildlife Management Areas': '12'},{'National Park': 1},{' National Forests': '3'},{'National Memorial': 1},{' National Historic Sites': '3'},{' National Wildlife Refuges': '9'},{'National Recreation Trail': 1},,,,,,,,Arkansas,AR,Little Rock,South
{' State Parks': '109'},{' State Recreation Areas': '9'},{' State Forests': '6'},{' State Historic Sites': '5'},{' State Fish Hatcherys': '5'},{'State Nature Preserve': 1},{' State Reserves': '10'},{' State Wildlife Areas': '10'},{' National Parks': '9'},{' National Forests': '19'},{'National Memorial': 1},{' National Historic Sites': '3'},{' National Monuments': '5'},{' National Wildlife Refuges': '31'},{' National Recreation Areas': '3'},{' National Recreation Trails': '6'},{'National Seashore': 1},{'National Park and Preserve': 1},{'Metro and City Parks': 1},California,CA,Sacramento,West
{' State Parks': '6'},{' State Forests': '2'},{'State Fish Hatchery': 1},{' State Wildlife Areas': '5'},{' National Parks': '3'},{' National Forests': '11'},{'National Historic Landmark': 1},{'National Monument': 1},{' National Wildlife Refuges': '4'},{' National Recreation Areas': '2'},,,,,,,,,,Colorado,CO,Denver,West
{' State Parks': '53'},{' State Forests': '25'},{' State Wildlife Areas': '2'},{'Metro and City Parks': 1},,,,,,,,,,,,,,,,Connecticut,CT,Hartford,Northeast
{' State Parks': '15'},{' State Forests': '2'},{'State Wildlife Area': 1},{' State Wildlife Management Areas': '3'},{' National Wildlife Refuges': '2'},,,,,,,,,,,,,,,Delaware,DE,Dover,Northeast
{' State Parks': '114'},{' State Forests': '5'},{'State Memorial': 1},{' State Historic Sites': '17'},{' State Reserves': '3'},{' State Preserves': '19'},{' National Parks': '3'},{' National Forests': '3'},{' National Memorials': '2'},{'National Historic Landmark': 1},{'National Monument': 1},{' National Wildlife Refuges': '20'},{'National Seashore': 1},,,,,,,Florida,FL,Tallahassee,South
{' State Parks': '53'},{'State Forest': 1},{'State Memorial': 1},{' State Historic Sites': '15'},{'State Nature Preserve': 1},{'State Wildlife Management Area': 1},{'State Wildlife Refuge': 1},{' National Forests': '2'},{'National Historic Site': 1},{' National Wildlife Refuges': '9'},{'National Recreation Area': 1},{'National Seashore': 1},{' Army Corps of Engineerss': '2'},,,,,,,Georgia,GA,Atlanta,South
{' State Parks': '10'},{' National Parks': '2'},{'National Memorial': 1},{' National Historic Parks': '2'},,,,,,,,,,,,,,,,Hawaii,HI,Honolulu,West
{' State Parks': '23'},{'State Forest': 1},{' State Fish Hatcherys': '2'},{'National Park': 1},{' National Forests': '10'},{'National Historic Site': 1},{'National Historic Park': 1},{'National Monument': 1},{' National Wildlife Refuges': '6'},{'National Recreation Area': 1},{' National Recreation Trails': '5'},{' Metro and City Parkss': '2'},,,,,,,,Idaho,ID,Boise,West
{' State Parks': '69'},{' State Recreation Areas': '11'},{' State Forests': '6'},{' State Memorials': '2'},{'State Nature Preserve': 1},{' State Natural Areas': '5'},{' State Wildlife Areas': '17'},{'State Wildlife Management Area': 1},{'National Forest': 1},{' National Historic Sites': '2'},{' National Wildlife Refuges': '3'},,,,,,,,,Illinois,IL,Springfield,Midwest
{' State Parks': '26'},{' State Forests': '15'},{' State Memorials': '4'},{'State Historic Site': 1},{'State Fishing Area': 1},{'State Fish Hatchery': 1},{'State Nature Preserve': 1},{' State Wildlife Areas': '13'},{'National Park': 1},{'National Forest': 1},{'National Memorial': 1},{'National Historic Park': 1},{'National Wildlife Refuge': 1},{'Metro and City Parks': 1},,,,,,Indiana,IN,Indianapolis,Midwest
{' State Parks': '63'},{' State Forests': '5'},{' State Wildlife Areas': '3'},{' State Wildlife Management Areas': '7'},{'National Historic Site': 1},{'National Monument': 1},{' National Wildlife Refuges': '3'},{'Metro and City Parks': 1},,,,,,,,,,,,Iowa,IA,Des Moines,Midwest
{' State Parks': '31'},{' State Wildlife Areas': '32'},{' State Wildlife Management Areas': '3'},{'National Park': 1},{' National Historic Sites': '4'},{' National Wildlife Refuges': '3'},,,,,,,,,,,,,,Kansas,KS,Topeka,Midwest
{' State Parks': '38'},{' State Forests': '3'},{' State Historic Sites': '12'},{'National Park': 1},{'National Forest': 1},{' National Historic Parks': '2'},{' National Wildlife Refuges': '2'},,,,,,,,,,,,,Kentucky,KY,Frankfort,South
{' State Parks': '20'},{'State Forest': 1},{' State Historic Sites': '2'},{' State Wildlife Management Areas': '9'},{'State Wildlife Refuge': 1},{' National Parks': '2'},{'National Forest': 1},{'National Historic Park': 1},{' National Wildlife Refuges': '8'},{'Metro and City Parks': 1},,,,,,,,,,Louisiana,LA,Baton Rouge,South
{' State Parks': '34'},{'National Park': 1},{' National Wildlife Refuges': '8'},,,,,,,,,,,,,,,,,Maine,ME,Augusta,Northeast
{' State Parks': '37'},{' State Forests': '5'},{' State Wildlife Management Areas': '6'},{' National Parks': '4'},{'National Historic Site': 1},{'National Historic Park': 1},{' National Wildlife Refuges': '4'},{'National Seashore': 1},,,,,,,,,,,,Maryland,MD,Annapolis,Northeast
{' State Parks': '24'},{' State Forests': '38'},{'State Wildlife Management Area': 1},{'National Park': 1},{' National Historic Sites': '6'},{' National Historic Parks': '3'},{' National Wildlife Refuges': '4'},{'National Seashore': 1},,,,,,,,,,,,Massachusetts,MA,Boston,Northeast
{' State Parks': '74'},{' State Forests': '12'},{'State Reserve': 1},{'State Wildlife Area': 1},{'State Wildlife Management Area': 1},{' National Parks': '2'},{' National Forests': '4'},{'National Historic Site': 1},{'National Historic Park': 1},{' National Wildlife Refuges': '4'},,,,,,,,,,Michigan,MI,Lansing,Midwest
